coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.owasp.esapi:esapi,2.7.0.0,bytecode-pass,2.7.0.0,bytecode-pass,2.7.0.0,bytecode-pass,
org.owasp:csrfguard,4.3.0,bytecode-pass,4.5.0-jakarta,bytecode-pass,4.5.0-jakarta,bytecode-pass,
org.owasp:csrfguard-extension-session,4.3.0,bytecode-pass,4.5.0-jakarta,bytecode-pass,4.5.0-jakarta,bytecode-pass,
org.pac4j:pac4j-cas,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-config,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-core,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-couch,4.5.10,bytecode-pass,6.5.3,unverified-artifact,6.5.3,unverified-artifact,
org.pac4j:pac4j-gae,4.5.10,bytecode-pass,6.5.3,unverified-artifact,6.5.3,unverified-artifact,
org.pac4j:pac4j-http,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-jakartaee,,replacement,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-jwt,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-kerberos,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-ldap,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-mongo,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-oauth,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-oidc,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.pac4j:pac4j-openid,4.5.10,bytecode-pass,6.5.3,unverified-artifact,6.5.3,unverified-artifact,
org.pac4j:pac4j-saml,,unsupported,6.5.3,bytecode-pass,6.5.3,bytecode-pass,JDK 8: 当前 pac4j 4.5.10 的 SAML 模块要求 Java 11；已发现 Java 8 的 3.9.0 候选，但需与 pac4j-core/Buji 整体兼容验证，不能混用主版本
org.pac4j:pac4j-sql,4.5.10,bytecode-pass,6.5.3,bytecode-pass,6.5.3,bytecode-pass,
org.perf4j:perf4j,0.9.16,bytecode-pass,0.9.16,bytecode-pass,0.9.16,bytecode-pass,
org.pf4j:pf4j,3.15.0,bytecode-pass,3.15.0,bytecode-pass,3.15.0,bytecode-pass,
