coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
org.eclipse.jetty.toolchain.setuid:jetty-setuid-jna:2.0.3	Apache Software License - Version 2.0 OR Eclipse Public License - Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/toolchain/setuid/jetty-setuid-jna/2.0.3/jetty-setuid-jna-2.0.3.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.websocket:jetty-websocket-core-common:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/websocket/jetty-websocket-core-common/12.1.8/jetty-websocket-core-common-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.websocket:jetty-websocket-core-server:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/websocket/jetty-websocket-core-server/12.1.8/jetty-websocket-core-server-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.websocket:jetty-websocket-jetty-api:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/websocket/jetty-websocket-jetty-api/12.1.8/jetty-websocket-jetty-api-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.websocket:jetty-websocket-jetty-common:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/websocket/jetty-websocket-jetty-common/12.1.8/jetty-websocket-jetty-common-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.websocket:jetty-websocket-jetty-server:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/websocket/jetty-websocket-jetty-server/12.1.8/jetty-websocket-jetty-server-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.parsson:parsson:1.0.5	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/org/eclipse/parsson/parsson/1.0.5/parsson-1.0.5.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.parsson:parsson:1.1.9	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/org/eclipse/parsson/parsson/1.1.9/parsson-1.1.9.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.parsson:parsson-media:1.0.5	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/org/eclipse/parsson/parsson-media/1.0.5/parsson-media-1.0.5.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.expressly:expressly:6.0.0	Eclipse Public License v. 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/expressly/expressly/6.0.0/expressly-6.0.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.hk2:hk2-api:3.0.6	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/hk2/hk2-api/3.0.6/hk2-api-3.0.6.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.hk2:hk2-locator:3.0.6	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/hk2/hk2-locator/3.0.6/hk2-locator-3.0.6.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.hk2:hk2-utils:3.0.6	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/hk2/hk2-utils/3.0.6/hk2-utils-3.0.6.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.hk2:osgi-resource-locator:1.0.3	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/hk2/osgi-resource-locator/1.0.3/osgi-resource-locator-1.0.3.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.hk2.external:aopalliance-repackaged:3.0.6	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/org/glassfish/hk2/external/aopalliance-repackaged/3.0.6/aopalliance-repackaged-3.0.6.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.connectors:jersey-apache5-connector:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/connectors/jersey-apache5-connector/3.1.11/jersey-apache5-connector-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.containers:jersey-container-servlet:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/containers/jersey-container-servlet/3.1.11/jersey-container-servlet-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.containers:jersey-container-servlet-core:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/containers/jersey-container-servlet-core/3.1.11/jersey-container-servlet-core-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.core:jersey-client:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-client/3.0.18/jersey-client-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.core:jersey-client:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-client/3.1.11/jersey-client-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.core:jersey-common:3.0.18	Apache License, 2.0 OR EPL 2.0 OR Public Domain OR The GNU General Public License (GPL), Version 2, With Classpath Exception	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-common/3.0.18/jersey-common-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.core:jersey-common:3.1.11	Apache License, 2.0 OR EPL 2.0 OR Public Domain OR The GNU General Public License (GPL), Version 2, With Classpath Exception	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-common/3.1.11/jersey-common-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.core:jersey-server:3.0.18	Apache License, 2.0 OR EPL 2.0 OR Modified BSD OR The GNU General Public License (GPL), Version 2, With Classpath Exception	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-server/3.0.18/jersey-server-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
